============================================================
Training run 2 started at 2026-05-09 11:15:39
============================================================
Using device: cuda
GPU: Tesla T4
Game: Qbert
Number of actions: 6
Hyperparameters:
  learning_rate: 0.0001
  gamma: 0.99
  buffer_size: 500000
  batch_size: 32
  epsilon_start: 1.0
  epsilon_end: 0.1
  epsilon_decay_steps: 1000000
  total_steps: 2500000
  eval_freq: 10000
  eval_episodes: 5
Collecting fixed states for Q-value tracking...
Collected 1000 fixed states

Starting training run 2...
Total steps: 2500000 (starting from 1)
Evaluation every 10000 steps
--------------------------------------------------
Step  570000 | Eval Reward:   300.00 | Avg Max Q:   3.26 | Loss:   0.1007 | Epsilon: 0.487 | Buffer:  500000 | Train Eps:  26 | Train R:  243.27 | 118.2 steps/s
Step  580000 | Eval Reward:   175.00 | Avg Max Q:   4.76 | Loss:   0.1017 | Epsilon: 0.478 | Buffer:  500000 | Train Eps:  26 | Train R:  262.50 | 119.5 steps/s
Step  590000 | Eval Reward:   925.00 | Avg Max Q:   3.70 | Loss:   0.1018 | Epsilon: 0.469 | Buffer:  500000 | Train Eps:  26 | Train R:  311.54 | 116.3 steps/s
Step  600000 | Eval Reward:   225.00 | Avg Max Q:   4.81 | Loss:   0.1001 | Epsilon: 0.460 | Buffer:  500000 | Train Eps:  25 | Train R:  281.00 | 119.2 steps/s
Step  610000 | Eval Reward:   250.00 | Avg Max Q:   4.07 | Loss:   0.0989 | Epsilon: 0.451 | Buffer:  500000 | Train Eps:  25 | Train R:  281.00 | 117.5 steps/s
Step  620000 | Eval Reward:     0.00 | Avg Max Q:   4.98 | Loss:   0.0987 | Epsilon: 0.442 | Buffer:  500000 | Train Eps:  23 | Train R:  350.00 | 120.1 steps/s
Step  630000 | Eval Reward:   550.00 | Avg Max Q:   4.83 | Loss:   0.0984 | Epsilon: 0.433 | Buffer:  500000 | Train Eps:  23 | Train R:  315.22 | 115.6 steps/s
Step  640000 | Eval Reward:     0.00 | Avg Max Q:   5.29 | Loss:   0.0975 | Epsilon: 0.424 | Buffer:  500000 | Train Eps:  25 | Train R:  280.00 | 120.7 steps/s
Step  650000 | Eval Reward:   525.00 | Avg Max Q:   3.63 | Loss:   0.1021 | Epsilon: 0.415 | Buffer:  500000 | Train Eps:  23 | Train R:  331.52 | 118.5 steps/s
Step  660000 | Eval Reward:   525.00 | Avg Max Q:   4.09 | Loss:   0.1031 | Epsilon: 0.406 | Buffer:  500000 | Train Eps:  25 | Train R:  258.00 | 116.1 steps/s
Step  670000 | Eval Reward:   525.00 | Avg Max Q:   4.59 | Loss:   0.1018 | Epsilon: 0.397 | Buffer:  500000 | Train Eps:  24 | Train R:  363.54 | 118.1 steps/s
Step  680000 | Eval Reward:   350.00 | Avg Max Q:   5.07 | Loss:   0.1014 | Epsilon: 0.388 | Buffer:  500000 | Train Eps:  24 | Train R:  336.46 | 118.9 steps/s
Step  690000 | Eval Reward:   275.00 | Avg Max Q:   4.66 | Loss:   0.0993 | Epsilon: 0.379 | Buffer:  500000 | Train Eps:  22 | Train R:  365.91 | 116.9 steps/s
Step  700000 | Eval Reward:   275.00 | Avg Max Q:   4.54 | Loss:   0.1054 | Epsilon: 0.370 | Buffer:  500000 | Train Eps:  24 | Train R:  383.33 | 115.5 steps/s
Step  710000 | Eval Reward:     0.00 | Avg Max Q:   4.74 | Loss:   0.1017 | Epsilon: 0.361 | Buffer:  500000 | Train Eps:  27 | Train R:  223.15 | 119.3 steps/s
Step  720000 | Eval Reward:   575.00 | Avg Max Q:   4.04 | Loss:   0.0969 | Epsilon: 0.352 | Buffer:  500000 | Train Eps:  24 | Train R:  346.88 | 113.4 steps/s
Step  730000 | Eval Reward:   325.00 | Avg Max Q:   5.26 | Loss:   0.1015 | Epsilon: 0.343 | Buffer:  500000 | Train Eps:  22 | Train R:  350.00 | 117.6 steps/s
Step  740000 | Eval Reward:   700.00 | Avg Max Q:   4.89 | Loss:   0.0996 | Epsilon: 0.334 | Buffer:  500000 | Train Eps:  25 | Train R:  285.00 | 115.3 steps/s
